id,title,description,release_year,age_certification,runtime,genres,production_country,seasons
1,"reprehenderit libero maxime","Aliquid expedita at commodi voluptatibus magnam pariatur. Vero consequatur maxime officiis tempore. Quidem sit repudiandae suscipit quaerat.","2022","PG-13",226,["Soul","Classical","Electronic"],"VU",9
2,"tempora aliquid totam","Autem accusamus error doloribus repellat delectus expedita illo atque hic. Porro nam assumenda nisi laboriosam nesciunt incidunt. Voluptatibus quos nostrum dolorem eligendi quis quaerat adipisci architecto.","2022","E",143,["Country","Non Music","Latin"],"SN",1
3,"dolores eum sint","Fugiat deleniti eius. Perferendis officiis voluptates saepe occaecati sint magni possimus. Quod dolores dignissimos culpa architecto.","2022","12A",114,["World","Rock","World"],"RO",1
4,"iste id culpa","Occaecati debitis labore ullam voluptates eaque facere. Quo nostrum nisi quis necessitatibus autem illo mollitia. Quos provident mollitia iure dolorum tempore delectus quo.","2023","A",145,["Funk","Rock","Country"],"ME",1
5,"ad optio adipisci","Perferendis neque quam iusto aperiam. Aperiam maxime eveniet totam. Odit sed hic harum inventore distinctio veniam.","2022","X18",237,["Rock","Stage And Screen","Soul"],"NI",6
6,"voluptas omnis sequi","Illo molestias eius et. Nemo possimus perspiciatis expedita quidem. Nihil recusandae dignissimos.","2023","TV-14",216,["Latin","Funk","Jazz"],"ZM",1
7,"quis sapiente ipsum","Veritatis sunt laudantium culpa hic odio repellat. Quos minima fugit. Veniam totam molestias ratione deserunt neque dolorem in natus sit.","2023","PG-13",128,["Blues","Electronic","Rock"],"LT",4
8,"excepturi sed ratione","Possimus perferendis nam libero. Sint ad in dolores ab perferendis. Corporis voluptatum minima magni quae excepturi excepturi.","2022","12",220,["Reggae","World","Rock"],"ME",8
9,"ipsam corporis beatae","Illo tempora ipsa optio quidem. Ex perferendis accusamus. Animi molestias totam in facilis.","2022","E10+",96,["Jazz","Electronic","Reggae"],"MT",0
10,"nulla non repellendus","Consequatur commodi nam quis molestiae est numquam doloremque vero impedit. Ut hic totam quam reprehenderit velit nihil. Dolores magnam reiciendis est eveniet ipsa aliquid et aut sunt.","2023","A",247,["Classical","Rap","Metal"],"ST",3
11,"autem architecto harum","At dolorum ducimus perspiciatis dolorem aspernatur enim. Voluptatum expedita ad ipsum. Quaerat labore eveniet atque impedit nobis.","2022","E10+",120,["Pop","Electronic","Soul"],"VE",8
12,"doloremque consequatur temporibus","Quo praesentium eos inventore harum non laudantium eos aut corporis. Iusto optio expedita dolores inventore temporibus accusantium. Molestias temporibus ab aspernatur nam.","2023","E10+",137,["Classical","Classical","Classical"],"DK",4
13,"veritatis libero vitae","Modi eum quam error hic. Reiciendis maxime voluptates voluptatum architecto aliquid earum aspernatur. Tempore ducimus non reiciendis.","2022","18",210,["Pop","Metal","Blues"],"TJ",2
14,"quidem minus nihil","Fugit laudantium consequatur autem rerum rerum ipsam necessitatibus architecto dicta. Cupiditate similique et ad eum nisi adipisci iste. Necessitatibus harum minus alias placeat error quam recusandae commodi ab.","2023","G",163,["Stage And Screen","Stage And Screen","Pop"],"PF",9
15,"perspiciatis ea ex","At ullam tempora quasi. Accusantium ad sapiente quod. Voluptates distinctio ab.","2022","E",177,["Metal","Hip Hop","Jazz"],"VI",8
16,"praesentium cum similique","Facilis eum error fugiat quidem distinctio natus voluptatibus quo magni. A eius cupiditate aperiam exercitationem animi. Cumque labore vitae incidunt dolores.","2023","U",236,["Hip Hop","Rap","Country"],"GA",1
17,"exercitationem vero exercitationem","Rem recusandae odio. Sapiente dolores vero. Sequi ex sed quibusdam dignissimos sapiente quae similique repellat delectus.","2023","TV-Y7",140,["World","Metal","Funk"],"GH",7
18,"expedita minus ut","Vel nobis unde porro quos necessitatibus ducimus natus eum sequi. Est veritatis soluta suscipit ipsa. Fugiat eligendi repellat atque eum ipsa laudantium alias.","2023","X18",94,["Metal","Folk","Latin"],"UA",6
